title                    	GC3s	GC	Aromo	
gi|401800989|gb|CP003773.	0.500	0.440	0.090164	
gi|401800989|gb|CP003773.	0.444	0.409	0.062176	
gi|401800989|gb|CP003773.	0.433	0.398	0.064815	
gi|401800989|gb|CP003773.	0.277	0.332	0.100295	
gi|401800989|gb|CP003773.	0.310	0.323	0.088639	
gi|401800989|gb|CP003773.	0.320	0.350	0.071823	
gi|401800989|gb|CP003773.	0.397	0.407	0.033898	
gi|401800989|gb|CP003773.	0.267	0.352	0.072581	
gi|401800989|gb|CP003773.	0.282	0.325	0.080851	
gi|401800989|gb|CP003773.	0.343	0.355	0.074074	
gi|401800989|gb|CP003773.	0.331	0.363	0.057377	
gi|401800989|gb|CP003773.	0.353	0.367	0.083861	
gi|401800989|gb|CP003773.	0.286	0.338	0.080873	
gi|401800989|gb|CP003773.	0.358	0.346	0.084795	
gi|401800989|gb|CP003773.	0.289	0.329	0.100671	
gi|401800989|gb|CP003773.	0.325	0.337	0.117347	
gi|401800989|gb|CP003773.	0.300	0.344	0.074675	
gi|401800989|gb|CP003773.	0.270	0.298	0.183333	
gi|401800989|gb|CP003773.	0.348	0.352	0.120930	
gi|401800989|gb|CP003773.	0.377	0.392	0.048387	
gi|401800989|gb|CP003773.	0.319	0.338	0.095890	
gi|401800989|gb|CP003773.	0.288	0.330	0.089286	
gi|401800989|gb|CP003773.	0.266	0.323	0.097378	
gi|401800989|gb|CP003773.	0.306	0.323	0.095949	
gi|401800989|gb|CP003773.	0.298	0.354	0.086957	
gi|401800989|gb|CP003773.	0.306	0.364	0.093168	
gi|401800989|gb|CP003773.	0.327	0.363	0.081028	
gi|401800989|gb|CP003773.	0.238	0.338	0.147849	
gi|401800989|gb|CP003773.	0.306	0.343	0.072102	
gi|401800989|gb|CP003773.	0.158	0.336	0.033333	
gi|401800989|gb|CP003773.	0.167	0.341	0.119565	
gi|401800989|gb|CP003773.	0.298	0.353	0.097403	
gi|401800989|gb|CP003773.	0.275	0.335	0.074434	
gi|401800989|gb|CP003773.	0.329	0.312	0.119221	
gi|401800989|gb|CP003773.	0.288	0.331	0.097826	
gi|401800989|gb|CP003773.	0.261	0.335	0.156057	
gi|401800989|gb|CP003773.	0.260	0.325	0.144898	
gi|401800989|gb|CP003773.	0.434	0.436	0.080882	
gi|401800989|gb|CP003773.	0.266	0.333	0.124113	
gi|401800989|gb|CP003773.	0.235	0.302	0.120253	
gi|401800989|gb|CP003773.	0.321	0.373	0.130564	
gi|401800989|gb|CP003773.	0.276	0.338	0.091503	
gi|401800989|gb|CP003773.	0.286	0.355	0.118056	
gi|401800989|gb|CP003773.	0.337	0.370	0.060000	
gi|401800989|gb|CP003773.	0.247	0.354	0.090909	
gi|401800989|gb|CP003773.	0.396	0.407	0.086538	
gi|401800989|gb|CP003773.	0.292	0.361	0.079310	
gi|401800989|gb|CP003773.	0.333	0.352	0.092857	
gi|401800989|gb|CP003773.	0.290	0.319	0.122449	
gi|401800989|gb|CP003773.	0.259	0.322	0.085779	
gi|401800989|gb|CP003773.	0.303	0.367	0.061791	
gi|401800989|gb|CP003773.	0.246	0.314	0.095101	
gi|401800989|gb|CP003773.	0.251	0.283	0.123577	
gi|401800989|gb|CP003773.	0.248	0.282	0.112540	
gi|401800989|gb|CP003773.	0.215	0.281	0.138393	
gi|401800989|gb|CP003773.	0.230	0.289	0.103152	
gi|401800989|gb|CP003773.	0.163	0.261	0.127273	
gi|401800989|gb|CP003773.	0.215	0.318	0.100000	
gi|401800989|gb|CP003773.	0.225	0.300	0.172414	
gi|401800989|gb|CP003773.	0.224	0.277	0.091743	
gi|401800989|gb|CP003773.	0.258	0.344	0.048583	
gi|401800989|gb|CP003773.	0.228	0.297	0.112769	
gi|401800989|gb|CP003773.	0.226	0.324	0.124717	
gi|401800989|gb|CP003773.	0.258	0.312	0.063025	
gi|401800989|gb|CP003773.	0.240	0.310	0.086247	
gi|401800989|gb|CP003773.	0.219	0.303	0.083841	
gi|401800989|gb|CP003773.	0.280	0.295	0.185039	
gi|401800989|gb|CP003773.	0.323	0.371	0.072165	
gi|401800989|gb|CP003773.	0.249	0.349	0.055866	
gi|401800989|gb|CP003773.	0.215	0.286	0.104213	
gi|401800989|gb|CP003773.	0.191	0.319	0.095675	
gi|401800989|gb|CP003773.	0.435	0.436	0.029412	
gi|401800989|gb|CP003773.	0.466	0.461	0.050000	
gi|401800989|gb|CP003773.	0.432	0.407	0.094488	
gi|401800989|gb|CP003773.	0.410	0.409	0.064378	
gi|401800989|gb|CP003773.	0.402	0.397	0.022472	
gi|401800989|gb|CP003773.	0.096	0.303	0.026316	
gi|401800989|gb|CP003773.	0.198	0.293	0.095622	
gi|401800989|gb|CP003773.	0.208	0.306	0.110345	
gi|401800989|gb|CP003773.	0.179	0.289	0.098592	
gi|401800989|gb|CP003773.	0.221	0.315	0.108392	
gi|401800989|gb|CP003773.	0.244	0.306	0.096939	
gi|401800989|gb|CP003773.	0.185	0.296	0.111511	
gi|401800989|gb|CP003773.	0.220	0.327	0.115090	
gi|401800989|gb|CP003773.	0.275	0.330	0.166667	
gi|401800989|gb|CP003773.	0.266	0.319	0.115556	
gi|401800989|gb|CP003773.	0.256	0.330	0.070588	
gi|401800989|gb|CP003773.	0.206	0.281	0.179688	
gi|401800989|gb|CP003773.	0.287	0.329	0.135135	
gi|401800989|gb|CP003773.	0.255	0.354	0.072368	
gi|401800989|gb|CP003773.	0.204	0.359	0.057292	
gi|401800989|gb|CP003773.	0.256	0.394	0.092308	
gi|401800989|gb|CP003773.	0.286	0.376	0.090141	
gi|401800989|gb|CP003773.	0.271	0.353	0.092243	
gi|401800989|gb|CP003773.	0.280	0.352	0.093750	
gi|401800989|gb|CP003773.	0.280	0.339	0.126556	
gi|401800989|gb|CP003773.	0.284	0.314	0.092179	
gi|401800989|gb|CP003773.	0.222	0.297	0.128440	
gi|401800989|gb|CP003773.	0.226	0.317	0.094340	
gi|401800989|gb|CP003773.	0.235	0.348	0.111712	
gi|401800989|gb|CP003773.	0.250	0.364	0.049689	
gi|401800989|gb|CP003773.	0.203	0.317	0.112735	
gi|401800989|gb|CP003773.	0.276	0.295	0.100000	
gi|401800989|gb|CP003773.	0.251	0.318	0.110787	
gi|401800989|gb|CP003773.	0.174	0.285	0.118557	
gi|401800989|gb|CP003773.	0.165	0.270	0.053191	
gi|401800989|gb|CP003773.	0.450	0.447	0.029630	
gi|401800989|gb|CP003773.	0.461	0.417	0.105263	
gi|401800989|gb|CP003773.	0.169	0.277	0.105769	
gi|401800989|gb|CP003773.	0.145	0.278	0.123967	
gi|401800989|gb|CP003773.	0.138	0.265	0.078189	
gi|401800989|gb|CP003773.	0.167	0.261	0.160448	
gi|401800989|gb|CP003773.	0.161	0.266	0.130435	
gi|401800989|gb|CP003773.	0.161	0.281	0.104494	
gi|401800989|gb|CP003773.	0.215	0.280	0.124424	
gi|401800989|gb|CP003773.	0.187	0.321	0.118790	
gi|401800989|gb|CP003773.	0.157	0.287	0.155039	
gi|401800989|gb|CP003773.	0.179	0.302	0.084058	
gi|401800989|gb|CP003773.	0.183	0.348	0.088050	
gi|401800989|gb|CP003773.	0.204	0.336	0.068293	
gi|401800989|gb|CP003773.	0.197	0.367	0.065282	
gi|401800989|gb|CP003773.	0.194	0.278	0.157051	
gi|401800989|gb|CP003773.	0.203	0.291	0.103641	
gi|401800989|gb|CP003773.	0.247	0.314	0.092593	
gi|401800989|gb|CP003773.	0.227	0.365	0.037643	
gi|401800989|gb|CP003773.	0.236	0.312	0.161458	
gi|401800989|gb|CP003773.	0.197	0.313	0.093003	
gi|401800989|gb|CP003773.	0.207	0.284	0.111386	
gi|401800989|gb|CP003773.	0.223	0.315	0.116541	
gi|401800989|gb|CP003773.	0.216	0.332	0.102941	
gi|401800989|gb|CP003773.	0.196	0.294	0.175000	
gi|401800989|gb|CP003773.	0.250	0.319	0.138636	
gi|401800989|gb|CP003773.	0.367	0.280	0.161290	
gi|401800989|gb|CP003773.	0.172	0.267	0.091912	
gi|401800989|gb|CP003773.	0.228	0.277	0.186813	
gi|401800989|gb|CP003773.	0.178	0.342	0.075377	
gi|401800989|gb|CP003773.	0.253	0.397	0.078853	
gi|401800989|gb|CP003773.	0.220	0.331	0.148148	
gi|401800989|gb|CP003773.	0.232	0.319	0.141343	
gi|401800989|gb|CP003773.	0.227	0.349	0.097477	
gi|401800989|gb|CP003773.	0.209	0.331	0.122776	
gi|401800989|gb|CP003773.	0.284	0.333	0.057269	
gi|401800989|gb|CP003773.	0.247	0.291	0.204000	
gi|401800989|gb|CP003773.	0.223	0.330	0.088319	
gi|401800989|gb|CP003773.	0.212	0.321	0.056604	
gi|401800989|gb|CP003773.	0.220	0.304	0.088435	
gi|401800989|gb|CP003773.	0.198	0.300	0.123134	
gi|401800989|gb|CP003773.	0.186	0.294	0.055629	
gi|401800989|gb|CP003773.	0.166	0.316	0.075893	
gi|401800989|gb|CP003773.	0.157	0.307	0.074419	
gi|401800989|gb|CP003773.	0.215	0.255	0.129187	
gi|401800989|gb|CP003773.	0.174	0.303	0.066946	
gi|401800989|gb|CP003773.	0.167	0.306	0.123711	
gi|401800989|gb|CP003773.	0.157	0.284	0.103532	
gi|401800989|gb|CP003773.	0.143	0.276	0.115183	
gi|401800989|gb|CP003773.	0.194	0.320	0.054795	
gi|401800989|gb|CP003773.	0.163	0.251	0.154303	
gi|401800989|gb|CP003773.	0.142	0.268	0.115764	
gi|401800989|gb|CP003773.	0.096	0.232	0.072464	
gi|401800989|gb|CP003773.	0.132	0.306	0.067647	
gi|401800989|gb|CP003773.	0.418	0.416	0.088235	
gi|401800989|gb|CP003773.	0.401	0.448	0.034884	
gi|401800989|gb|CP003773.	0.357	0.368	0.070175	
gi|401800989|gb|CP003773.	0.250	0.346	0.078355	
gi|401800989|gb|CP003773.	0.232	0.346	0.071326	
gi|401800989|gb|CP003773.	0.189	0.298	0.101190	
gi|401800989|gb|CP003773.	0.191	0.250	0.130814	
gi|401800989|gb|CP003773.	0.190	0.279	0.129151	
gi|401800989|gb|CP003773.	0.156	0.271	0.103645	
gi|401800989|gb|CP003773.	0.177	0.288	0.098160	
gi|401800989|gb|CP003773.	0.169	0.256	0.110577	
gi|401800989|gb|CP003773.	0.162	0.352	0.081505	
gi|401800989|gb|CP003773.	0.207	0.282	0.122078	
gi|401800989|gb|CP003773.	0.146	0.254	0.120915	
gi|401800989|gb|CP003773.	0.187	0.271	0.200913	
gi|401800989|gb|CP003773.	0.140	0.284	0.093407	
gi|401800989|gb|CP003773.	0.179	0.293	0.103030	
gi|401800989|gb|CP003773.	0.217	0.324	0.046296	
gi|401800989|gb|CP003773.	0.133	0.265	0.109489	
gi|401800989|gb|CP003773.	0.164	0.311	0.066011	
gi|401800989|gb|CP003773.	0.118	0.274	0.124088	
gi|401800989|gb|CP003773.	0.135	0.296	0.091837	
gi|401800989|gb|CP003773.	0.149	0.251	0.173913	
gi|401800989|gb|CP003773.	0.268	0.305	0.078571	
gi|401800989|gb|CP003773.	0.166	0.271	0.093137	
gi|401800989|gb|CP003773.	0.189	0.291	0.065147	
gi|401800989|gb|CP003773.	0.128	0.254	0.117647	
gi|401800989|gb|CP003773.	0.166	0.300	0.080247	
gi|401800989|gb|CP003773.	0.076	0.350	0.032787	
gi|401800989|gb|CP003773.	0.200	0.398	0.017544	
gi|401800989|gb|CP003773.	0.115	0.246	0.022727	
gi|401800989|gb|CP003773.	0.161	0.296	0.067568	
gi|401800989|gb|CP003773.	0.135	0.278	0.088235	
gi|401800989|gb|CP003773.	0.157	0.276	0.104478	
gi|401800989|gb|CP003773.	0.141	0.299	0.109756	
gi|401800989|gb|CP003773.	0.174	0.303	0.091743	
gi|401800989|gb|CP003773.	0.174	0.267	0.112805	
gi|401800989|gb|CP003773.	0.194	0.314	0.133956	
gi|401800989|gb|CP003773.	0.150	0.272	0.111688	
gi|401800989|gb|CP003773.	0.132	0.277	0.115523	
gi|401800989|gb|CP003773.	0.180	0.262	0.118056	
gi|401800989|gb|CP003773.	0.158	0.283	0.106952	
gi|401800989|gb|CP003773.	0.181	0.306	0.125000	
gi|401800989|gb|CP003773.	0.143	0.276	0.093750	
gi|401800989|gb|CP003773.	0.152	0.269	0.112782	
gi|401800989|gb|CP003773.	0.169	0.294	0.085106	
gi|401800989|gb|CP003773.	0.178	0.241	0.104167	
gi|401800989|gb|CP003773.	0.122	0.235	0.105991	
gi|401800989|gb|CP003773.	0.153	0.296	0.067308	
gi|401800989|gb|CP003773.	0.150	0.298	0.109312	
gi|401800989|gb|CP003773.	0.136	0.303	0.076744	
gi|401800989|gb|CP003773.	0.149	0.232	0.180000	
gi|401800989|gb|CP003773.	0.212	0.276	0.111111	
gi|401800989|gb|CP003773.	0.107	0.323	0.077792	
gi|401800989|gb|CP003773.	0.158	0.250	0.083045	
gi|401800989|gb|CP003773.	0.260	0.314	0.138158	
gi|401800989|gb|CP003773.	0.165	0.256	0.104000	
gi|401800989|gb|CP003773.	0.197	0.282	0.125191	
gi|401800989|gb|CP003773.	0.144	0.341	0.071910	
gi|401800989|gb|CP003773.	0.162	0.336	0.031308	
gi|401800989|gb|CP003773.	0.248	0.348	0.090909	
gi|401800989|gb|CP003773.	0.176	0.337	0.096296	
gi|401800989|gb|CP003773.	0.203	0.305	0.117761	
gi|401800989|gb|CP003773.	0.167	0.254	0.206522	
gi|401800989|gb|CP003773.	0.180	0.333	0.078947	
gi|401800989|gb|CP003773.	0.210	0.255	0.109929	
gi|401800989|gb|CP003773.	0.168	0.283	0.064286	
gi|401800989|gb|CP003773.	0.147	0.345	0.073529	
gi|401800989|gb|CP003773.	0.173	0.291	0.115108	
gi|401800989|gb|CP003773.	0.136	0.324	0.073501	
gi|401800989|gb|CP003773.	0.145	0.254	0.130682	
gi|401800989|gb|CP003773.	0.164	0.290	0.087379	
gi|401800989|gb|CP003773.	0.100	0.346	0.078431	
gi|401800989|gb|CP003773.	0.189	0.299	0.159170	
gi|401800989|gb|CP003773.	0.169	0.259	0.111111	
gi|401800989|gb|CP003773.	0.159	0.325	0.065934	
gi|401800989|gb|CP003773.	0.130	0.275	0.129032	
gi|401800989|gb|CP003773.	0.204	0.262	0.106667	
gi|401800989|gb|CP003773.	0.196	0.290	0.070769	
gi|401800989|gb|CP003773.	0.173	0.277	0.120185	
gi|401800989|gb|CP003773.	0.163	0.285	0.104558	
gi|401800989|gb|CP003773.	0.139	0.256	0.125123	
gi|401800989|gb|CP003773.	0.141	0.226	0.112291	
gi|401800989|gb|CP003773.	0.170	0.319	0.087591	
gi|401800989|gb|CP003773.	0.173	0.305	0.057554	
gi|401800989|gb|CP003773.	0.177	0.270	0.106061	
gi|401800989|gb|CP003773.	0.165	0.308	0.065401	
gi|401800989|gb|CP003773.	0.202	0.242	0.131068	
gi|401800989|gb|CP003773.	0.182	0.296	0.089286	
gi|401800989|gb|CP003773.	0.247	0.302	0.046512	
gi|401800989|gb|CP003773.	0.172	0.304	0.062640	
gi|401800989|gb|CP003773.	0.194	0.323	0.046875	
gi|401800989|gb|CP003773.	0.241	0.357	0.064286	
gi|401800989|gb|CP003773.	0.210	0.278	0.124260	
gi|401800989|gb|CP003773.	0.138	0.300	0.077329	
gi|401800989|gb|CP003773.	0.154	0.310	0.096647	
gi|401800989|gb|CP003773.	0.172	0.303	0.086420	
